metric,ft_mean,ft_std,top2_mean,top2_std,delta,p_val
Accuracy (%),98.1893424036281,2.0053760481853145,68.78004535147393,7.928582372452372,29.409297052154173,0.001730814920184657
Sensitivity / Recall (%),96.63869992441421,4.150639747619398,89.47165532879818,7.478390363093726,7.167044595616034,0.09202882590564188
Specificity (%),99.73998488284204,0.2766006186339197,48.088435374149654,21.928702370989942,51.65154950869238,0.009183482155192584
Precision (%),99.73853518701505,0.27277789309118256,64.993759974629,8.51296621509305,34.744775212386045,0.0011943848526394165
F1-Score (%),98.11522268399924,2.0990194311788577,74.4853475535572,3.6616797498629357,23.62987513044203,0.00018313383580257714
ROC-AUC,0.9846146400191049,0.018951769180647508,0.8378824346737099,0.03183917885655588,0.146732205345395,0.00031294302638036517
PR-AUC,0.9905113300923254,0.011688040361477416,0.8535532265221072,0.02342857534830569,0.1369581035702182,0.0002543232170334772
