subject_id,n_windows,accuracy,sensitivity,specificity,precision,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
1,252,73.01587301587301,86.5079365079365,59.523809523809526,68.125,76.22377622377621,0.8250818846056941,0.8301428621588927,75,51,17,109
2,252,63.888888888888886,90.47619047619048,37.301587301587304,59.067357512953365,71.47335423197492,0.8348450491307635,0.8629855613085593,47,79,12,114
3,252,50.0,0.0,100.0,0.0,0.0,0.09001007810531622,0.31982489372208023,126,0,126,0
4,252,63.095238095238095,99.20634920634922,26.984126984126984,57.6036866359447,72.8862973760933,0.8478206097253717,0.8443477333442642,34,92,1,125
5,252,50.0,0.0,100.0,0.0,0.0,0.5838372385991433,0.6117303031767883,126,0,126,0
6,252,75.79365079365078,80.15873015873017,71.42857142857143,73.72262773722628,76.80608365019012,0.8503401360544217,0.8427151662549954,90,36,25,101
7,252,68.25396825396825,60.317460317460316,76.19047619047619,71.69811320754717,65.51724137931035,0.6992315444696396,0.791137773340514,96,30,50,76
8,252,50.0,0.0,100.0,0.0,0.0,0.5391156462585034,0.5371765189267339,126,0,126,0
9,252,50.39682539682539,100.0,0.7936507936507936,50.199203187250994,66.84350132625994,0.6405265810027716,0.651328336753949,1,125,0,126
11,252,49.60317460317461,99.20634920634922,0.0,49.800796812749006,66.3129973474801,0.4434366339128244,0.4830262595552627,0,126,1,125
12,252,53.96825396825397,49.2063492063492,58.730158730158735,54.385964912280706,51.66666666666667,0.5276518014613253,0.5120327423223909,74,52,64,62
13,252,65.47619047619048,75.39682539682539,55.55555555555556,62.913907284768214,68.59205776173285,0.7499685059208868,0.7539494238789561,70,56,31,95
15,252,74.60317460317461,88.09523809523809,61.111111111111114,69.375,77.62237762237763,0.7341899722852104,0.6095089731702443,77,49,15,111
16,252,49.60317460317461,72.22222222222221,26.984126984126984,49.72677595628415,58.89967637540453,0.5165658856135046,0.5205179635073331,34,92,35,91
17,252,61.111111111111114,96.82539682539682,25.396825396825395,56.481481481481474,71.34502923976608,0.8510959939531368,0.8502226257370411,32,94,4,122
18,252,50.0,0.0,100.0,0.0,0.0,0.6123393801965231,0.6314329325056263,126,0,126,0
19,252,63.095238095238095,73.01587301587301,53.17460317460318,60.9271523178808,66.4259927797834,0.7157974300831444,0.7223676739866484,67,59,34,92
20,252,50.0,0.0,100.0,0.0,0.0,0.597946586041824,0.5668855294553101,126,0,126,0
