subject_id,n_windows,accuracy,sensitivity,specificity,precision,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
1,252,83.73015873015873,96.03174603174604,71.42857142857143,77.07006369426752,85.51236749116607,0.9208238851095994,0.873344155422471,90,36,5,121
2,252,70.23809523809523,88.88888888888889,51.587301587301596,64.73988439306359,74.91638795986621,0.8185311161501637,0.7730812939815557,65,61,14,112
3,252,73.4126984126984,79.36507936507937,67.46031746031747,70.92198581560284,74.90636704119851,0.7888636936255984,0.7172498949790667,85,41,26,100
4,252,81.74603174603175,100.0,63.49206349206349,73.25581395348837,84.56375838926175,0.9519400352733687,0.8873034014161596,80,46,0,126
5,252,67.85714285714286,82.53968253968253,53.17460317460318,63.80368098159509,71.97231833910035,0.7865961199294533,0.8121515911740222,67,59,22,104
6,252,86.5079365079365,91.26984126984127,81.74603174603175,83.33333333333334,87.12121212121212,0.9521919879062736,0.9560920573076801,103,23,11,115
7,252,53.17460317460318,84.92063492063492,21.428571428571427,51.94174757281553,64.45783132530121,0.5980725623582767,0.6111271981014496,27,99,19,107
8,252,59.12698412698413,81.74603174603175,36.507936507936506,56.284153005464475,66.66666666666666,0.6991055681531874,0.7421713804165114,46,80,23,103
9,252,78.17460317460318,99.20634920634922,57.14285714285714,69.83240223463687,81.9672131147541,0.9645376669186193,0.9633299986647957,72,54,1,125
11,252,71.42857142857143,50.0,92.85714285714286,87.5,63.63636363636363,0.8518518518518519,0.8610121165050966,117,9,63,63
12,252,78.17460317460318,100.0,56.34920634920635,69.61325966850829,82.08469055374593,0.9892920131015369,0.9836602388412987,71,55,0,126
13,252,80.95238095238095,83.33333333333334,78.57142857142857,79.54545454545455,81.3953488372093,0.9035021415973797,0.9144700544950854,99,27,21,105
15,252,76.98412698412699,94.44444444444444,59.523809523809526,70.0,80.4054054054054,0.8815822625346434,0.8849107508273901,75,51,7,119
16,252,84.52380952380952,88.09523809523809,80.95238095238095,82.22222222222221,85.0574712643678,0.9189972285210382,0.9308135566540301,102,24,15,111
17,252,78.17460317460318,81.74603174603175,74.60317460317461,76.29629629629629,78.9272030651341,0.8488914084152179,0.842698347192016,94,32,23,103
18,252,52.77777777777778,96.03174603174604,9.523809523809524,51.48936170212765,67.03601108033241,0.7261904761904762,0.7616979220420681,12,114,5,121
19,252,57.14285714285714,87.3015873015873,26.984126984126984,54.45544554455446,67.07317073170732,0.6597379692617787,0.6681187614019941,34,92,16,110
20,252,67.85714285714286,98.4126984126984,37.301587301587304,61.083743842364534,75.37993920972644,0.9187452758881329,0.927923243430396,47,79,2,124
22,252,53.57142857142857,88.88888888888889,18.253968253968253,52.093023255813954,65.6891495601173,0.6609977324263039,0.6809594052961352,23,103,14,112
23,252,72.61904761904762,91.26984126984127,53.96825396825397,66.47398843930635,76.92307692307693,0.8267825648778029,0.8253897061781634,68,58,11,115
24,252,78.17460317460318,69.04761904761905,87.3015873015873,84.46601941747572,75.9825327510917,0.8394431846812799,0.8256188035950995,110,16,39,87
25,252,73.4126984126984,88.09523809523809,58.730158730158735,68.09815950920245,76.8166089965398,0.8703703703703703,0.8847130835898321,74,52,15,111
26,252,80.15873015873017,92.85714285714286,67.46031746031747,74.0506329113924,82.3943661971831,0.9263038548752834,0.9358618004152235,85,41,9,117
28,252,70.23809523809523,84.12698412698413,56.34920634920635,65.83850931677019,73.86759581881533,0.8035399344923154,0.8269464131102837,71,55,20,106
30,252,53.17460317460318,100.0,6.349206349206349,51.63934426229508,68.10810810810811,0.6957042076089696,0.6613615524688689,8,118,0,126
31,252,57.936507936507944,98.4126984126984,17.46031746031746,54.385964912280706,70.05649717514125,0.7740614764424288,0.753167750257298,22,104,2,124
32,252,51.98412698412699,92.85714285714286,11.11111111111111,51.09170305676856,65.91549295774648,0.6300705467372134,0.6595998841018926,14,112,9,117
34,252,84.52380952380952,95.23809523809523,73.80952380952381,78.43137254901961,86.02150537634408,0.9520030234315948,0.9615274107729104,93,33,6,120
35,252,71.82539682539682,97.61904761904762,46.03174603174603,64.3979057591623,77.60252365930599,0.9053287981859411,0.9055783668040471,58,68,3,123
36,252,50.0,0.0,100.0,0.0,0.0,0.5500125976316452,0.5517991062107108,126,0,126,0
37,252,57.53968253968254,80.15873015873017,34.92063492063492,55.19125683060109,65.37216828478964,0.6085285966238347,0.5939636770117425,44,82,25,101
38,252,77.38095238095238,61.904761904761905,92.85714285714286,89.65517241379311,73.23943661971832,0.8687956664147141,0.884595554683308,117,9,48,78
39,252,65.47619047619048,95.23809523809523,35.714285714285715,59.70149253731343,73.39449541284404,0.8228772990677753,0.8316624495699008,45,81,6,120
40,252,90.07936507936508,100.0,80.15873015873017,83.44370860927152,90.97472924187726,0.9969135802469136,0.9969960231771018,101,25,0,126
41,252,77.77777777777779,99.20634920634922,56.34920634920635,69.44444444444444,81.69934640522875,0.9503653313177123,0.9362481961335518,71,55,1,125
42,252,78.96825396825396,99.20634920634922,58.730158730158735,70.62146892655367,82.50825082508251,0.9743008314436885,0.9747614196486024,74,52,1,125
43,252,81.74603174603175,96.03174603174604,67.46031746031747,74.69135802469135,84.02777777777779,0.9395313681027967,0.9399069673833572,85,41,5,121
44,252,67.85714285714286,42.06349206349206,93.65079365079364,86.88524590163934,56.68449197860963,0.8085789871504158,0.8284885465172657,118,8,73,53
45,252,79.36507936507937,58.730158730158735,100.0,100.0,74.0,0.9682539682539683,0.9727680628494618,126,0,52,74
