metric,ft_mean,ft_std,frozen_mean,frozen_std,delta,p_val
Accuracy (%),98.19463340891912,2.0436032593158844,54.140967498110356,2.1411566543678737,44.05366591080876,2.824642681254259e-07
Sensitivity / Recall (%),96.60544217687075,4.193500984467909,63.75812547241119,11.057532390484537,32.847316704459566,0.006612635064101347
Specificity (%),99.7838246409675,0.22987774936939512,44.523809523809526,13.176061036716074,55.26001511715797,0.001075772130275733
Precision (%),99.78190462701288,0.22676483574774065,53.85275781734217,2.7721920042511177,45.929146809670705,4.616605044458636e-06
F1-Score (%),98.11884515825446,2.1392744277928806,57.781769882354716,3.838410287748067,40.33707527589974,5.459501742112753e-05
ROC-AUC,0.9846465295952932,0.018928326005884077,0.56654837119193,0.025120027772562156,0.4180981584033632,1.3902992912782411e-06
PR-AUC,0.990523232687171,0.01167961862288112,0.5727086371497532,0.021861788722116717,0.41781459553741784,3.407089912940724e-07
