fold,val_acc,val_roc_auc,val_pr_auc,val_precision,val_recall,val_f1,val_specificity,test_acc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_specificity
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9955555555555555,0.9958333333333333,1.0,0.9333333333333333,0.9655172413793104,1.0
2,0.9333333333333333,0.9644444444444444,0.9768115942028985,1.0,0.8666666666666667,0.9285714285714286,1.0,0.8928571428571429,0.9744897959183674,0.9812030075187969,1.0,0.7857142857142857,0.88,1.0
3,0.9642857142857143,0.9693877551020408,0.9785714285714284,1.0,0.9285714285714286,0.962962962962963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
